GICS.Sector,total_area,coastal_risk_reduction_service_adj_sum,nitrogen_retention_service_adj_sum,sediment_retention_service_adj_sum,endemic_biodiversity_adj_sum,redlist_species_adj_sum,species_richness_adj_sum,kba_within_1km_adj_sum
Communication Services,10919716.35,541365.8848,2381472348,765702861.6,0.000713843,851.1336824,4.517942209,0.255353137
Communication Services,47821.24925,0,58972487.29,50752450.63,1.79E-05,13.0387028,0.0311015,0
Communication Services,2100037.696,38492.33237,2303123258,413686095.9,0.00040155,196.3853813,1.1080942,0.093640201
Communication Services,55052.90478,15718.04613,39809089.93,7036640.499,4.90E-06,9.84467519,0.023252467,0.047153178
Communication Services,9931267.724,387290.9136,1951943740,5395144237,0.001151215,1047.002738,2.970900311,19.84242543
Communication Services,274118.2098,11695.46399,73122500.82,1189687.589,8.34E-07,16.19384673,0.074852468,0.093640201
Communication Services,33774.02091,2547.589197,0,0,7.53E-08,2.657402225,0.009405029,0
Communication Services,15483.00657,205.0476422,0,0,3.06E-08,0.813013854,0.002302015,0
Communication Services,3723294.878,367758.8441,530764047.2,1538049093,0.00038869,330.023099,1.081404793,1.919138041
Communication Services,165460.9023,3353.678256,116870811.4,20081097.93,8.69E-06,12.88916277,0.059556382,0.047153178
Communication Services,240256.2689,22104.64187,92511119.12,482860671.3,0.000215401,37.02615522,0.152083469,0.203233493
Communication Services,61567.86961,0,6579304.067,627210.8105,2.81E-07,2.156668826,0.015409701,0
Communication Services,936017.5626,101569.7525,103712303,16430661.49,0.000220229,59.55852479,0.345222516,0.234433579
Communication Services,60492.6533,0,49684322.96,58383560.27,9.75E-06,15.83379442,0.030015621,0
Communication Services,109622.5834,600.9550005,71310285.93,32203711.36,1.63E-05,25.47505015,0.051264967,0
Communication Services,464119.3243,45576.05099,217462033.2,94006616.81,3.81E-05,56.77464365,0.209316838,0.172033406
Communication Services,2368402.777,446099.5681,421779616.1,111649461.5,0.000137266,186.2923376,0.906684922,0.484487172
Communication Services,515595.1258,395695.8665,95182355.31,47711700.95,3.26E-05,61.23086958,0.20883511,0.047153178
Communication Services,1022812.696,242463.0385,125599151.3,13924813.98,6.45E-05,69.10770095,0.377869633,0.047153178
Communication Services,400837.7563,130851.8338,107307817,29960628.51,1.49E-05,35.07594079,0.147957717,0.15674647
Communication Services,253696.6547,76261.04515,33299880.96,5471950.056,1.68E-05,18.80494234,0.083822295,0.047153178
Communication Services,504641.6608,234090.4842,74483914.43,159009251.4,3.08E-05,42.29353944,0.165484415,0.266339762
Communication Services,396345.0538,33557.1628,275854396.2,28380044.81,0.000195724,78.01880571,0.18025023,0.328073779
Communication Services,523209.6715,213564.1582,183317190.7,38301381.09,1.27E-05,53.97239926,0.197536098,0
Communication Services,321664.4878,44594.01429,918047389.6,181165214,8.32E-06,85.85458793,0.143807221,0
Communication Services,59180.37769,0,69203167.67,1946160.797,1.31E-05,4.614328099,0.021179228,0
Communication Services,920955.7856,66902.32204,134817842.5,20956273.09,2.82E-05,90.09398507,0.372090264,0
Communication Services,308483.3757,42.03172783,200054569.8,11529659.4,3.01E-05,28.03011666,0.107508321,0.203233493
Communication Services,1249408.29,50884.58246,314455701.3,156997233.7,0.000169151,124.7092699,0.403560419,0.762357593
Communication Services,101135.0114,0,86155349.65,199545722.5,3.06E-06,30.27810325,0.062540332,0.561881146
Communication Services,435439.3424,33413.07273,91675748.8,17126952.39,4.08E-05,20.64162358,0.125017195,0.374560802
Communication Services,564344.1288,1857.983659,326851080,20561022.55,4.91E-05,39.41951096,0.183057721,0
Communication Services,157683.6484,2098.153361,36571042.67,13722837.95,1.18E-05,10.96519723,0.049290799,0.406466985
Communication Services,25346.40286,0,15945338.77,1920939.776,6.30E-07,7.979207727,0.014778469,0.281626698
Communication Services,5619.610292,0,665818.1709,549600.7588,1.36E-07,1.748323202,0.003280231,0.062440114
Communication Services,178419.3521,156768.7046,235347086.8,142905077.6,6.24E-05,70.97950502,0.14876942,0
Communication Services,278700.9428,10910.9664,76137425.45,12399423.63,2.63E-06,14.04634317,0.084173137,1.060265404
Communication Services,4675772.983,75110.93664,1216515538,213219117.1,0.000295449,338.5184361,1.884379906,0.02111121
Communication Services,392334.6005,142036.4201,103893091,16589011.04,2.06E-05,33.18314636,0.133381301,0.230974878
Communication Services,5619.610292,0,28619639.21,39389709.75,1.00E-06,0.561961029,0.003003565,0
Communication Services,114334.0118,5044.416739,34122499.45,14345835.66,9.03E-06,13.18336305,0.051046208,0
Communication Services,49316.98141,3826.815228,8429905.751,717510.668,3.99E-06,3.899497703,0.020315756,0
Communication Services,101501.9245,51518.16757,76281284.02,33994761.21,3.31E-06,12.93954119,0.036076518,0.109593292
Communication Services,1015561.547,49436.07498,1375267931,132284355,4.43E-05,170.0087533,0.361180704,0.390180816
Communication Services,9863.396281,31620.831,1575377.292,62811.05635,1.08E-05,1.674473254,0.004145488,0
Communication Services,400785.1057,10072.20226,211353638.2,7834867.395,2.12E-05,31.93656483,0.143990347,0.156080315
Communication Services,365279.0179,361081.0568,68151113.11,51525538.37,2.32E-05,38.93498254,0.145811014,0
Communication Services,22474.8464,0,1827288.139,51240100.35,9.43E-06,4.869570024,0.010223647,0
Communication Services,77287.93548,0,6798398.898,342698706.1,9.58E-05,16.89351002,0.034574954,0
Communication Services,9863.396279,4301.47655,0,0,0,0,0,0
Communication Services,9863.396282,0,1743.570739,4666.718979,2.23E-08,0.876746336,0.001413123,0
Communication Services,5619.610292,0,1228.869012,1490.771023,1.25E-08,0.499520915,0.000795716,0
Communication Services,5619.610293,0,306424.2993,3093309.99,1.57E-06,1.311242402,0.002497361,0
Communication Services,194632.5901,87209.29675,46701126.92,4561820.541,4.80E-06,14.23636431,0.067803156,0
Communication Services,268809.1534,15937.35749,137271999.7,29588184.91,1.15E-05,24.19564004,0.101253427,0.25038667
Communication Services,5619.610292,0,462432.7982,2918212.424,1.64E-07,0.936601715,0.00346499,0
Communication Services,66112.26359,1227.761204,2340646.943,557674.8207,2.73E-05,7.454401125,0.014421326,0.484194036
Communication Services,43813.6842,150.2493412,1912401.6,526229.9839,5.26E-06,5.102660655,0.01550086,0.188612711
Communication Services,115041.6414,17986.95916,4007052.406,4231382.041,3.94E-06,8.216906733,0.046746447,0
Communication Services,64799.98798,112208.4761,53409917.19,8420798.028,3.08E-06,8.453324238,0.023402041,0
Communication Services,15483.00657,0,62952229.06,9819549.122,2.84E-07,5.849135817,0.007051209,0
Communication Services,5619.610291,0,1284146.389,27477.62111,1.31E-07,1.186362173,0.00261228,0
Communication Services,11239.22058,1896.773903,886503.0457,62698.57935,3.09E-07,2.138573917,0.005504514,0
Communication Services,122597.3518,47224.27107,3452988.045,354158.8105,0.000178364,9.019955464,0.047509906,0
Communication Services,5619.610292,0,13458883.73,5546528.384,7.41E-07,2.560044689,0.005166731,0
Communication Services,5619.610292,0,1169973.266,201438.4588,1.26E-07,1.123922058,0.002280626,0
Communication Services,203535.0684,6407.426021,42672848.55,6883414.449,3.54E-06,15.45676196,0.080518188,0
Communication Services,5619.610293,0,19724078.85,841660.8973,1.25E-07,1.123922059,0.002256981,0
Communication Services,5619.610292,0,18787906.72,357067.634,1.61E-07,1.123922058,0.002324539,0
Communication Services,36522.07475,0,12311789.91,244433.3551,2.63E-06,7.44487525,0.012541958,0
Communication Services,28214.36454,50795.17095,1372730.074,157332.4631,1.07E-06,2.897871138,0.011072878,0
Communication Services,419253.9567,4980.038837,81501629.99,3207521.117,6.47E-06,29.53186996,0.113928823,0.335737219
Communication Services,74663.38426,0,55716135.65,240604927,4.79E-06,11.38241543,0.020892811,0.109593292
Communication Services,21102.61686,10428.17618,22780930.99,15428708.26,1.03E-06,2.689771295,0.005531718,0
